,product_name,image,product_specifications,categories,description
0,Elegance Polyester Multicolor Abstract Eyelet Door Curtain,55b85ea15a1536d46b7190ad6fff8ce7.jpg,"{""product_specification""=>[{""key""=>""Brand"", ""value""=>""Elegance""}, {""key""=>""Designed For"", ""value""=>""Door""}, {""key""=>""Type"", ""value""=>""Eyelet""}, {""key""=>""Model Name"", ""value""=>""Abstract Polyester Door Curtain Set Of 2""}, {""key""=>""Model ID"", ""value""=>""Duster25""}, {""key""=>""Color"", ""value""=>""Multicolor""}, {""key""=>""Length"", ""value""=>""213 cm""}, {""key""=>""Number of Contents in Sales Package"", ""value""=>""Pack of 2""}, {""key""=>""Sales Package"", ""value""=>""2 Curtains""}, {""key""=>""Material"", ""value""=>""Polyester""}]}",home furnishing,features elegance polyester multicolor abstract eyelet door curtain floral curtain elegance polyester multicolor abstract eyelet door curtain height pack price this curtain enhances look interiors this curtain made from high quality polyester fabric features eyelet style stitch with metal ring makes room environment romantic loving this curtain wrinkle anti shrinkage have elegant apparance give your home bright modernistic appeal with these designs surreal attention sure steal hearts these contemporary eyelet valance curtains slide smoothly when draw them apart first thing morning welcome bright rays want wish good morning whole world when draw them close evening create most special moments joyous beauty given soothing prints bring home elegant curtain that softly filters light your room that right amount sunlight specifications elegance polyester multicolor abstract eyelet door curtain height pack general brand elegance designed door type eyelet model name abstract polyester door curtain model duster color multicolor dimensions length number contents sales package pack sales package curtains body design material polyester
1,Sathiyas Cotton Bath Towel,7b72c92c2f6c40268628ec5f14c6d590.jpg,"{""product_specification""=>[{""key""=>""Machine Washable"", ""value""=>""Yes""}, {""key""=>""Material"", ""value""=>""Cotton""}, {""key""=>""Design"", ""value""=>""Self Design""}, {""key""=>""Brand"", ""value""=>""Sathiyas""}, {""key""=>""Type"", ""value""=>""Bath Towel""}, {""key""=>""GSM"", ""value""=>""500""}, {""key""=>""Model Name"", ""value""=>""Sathiyas cotton bath towel""}, {""key""=>""Ideal For"", ""value""=>""Men, Women, Boys, Girls""}, {""key""=>""Model ID"", ""value""=>""asvtwl322""}, {""key""=>""Color"", ""value""=>""Red, Yellow, Blue""}, {""key""=>""Size"", ""value""=>""Mediam""}, {""key""=>""Length"", ""value""=>""30 inch""}, {""key""=>""Width"", ""value""=>""60 inch""}, {""key""=>""Number of Contents in Sales Package"", ""value""=>""3""}, {""key""=>""Sales Package"", ""value""=>""3 Bath Towel""}]}",baby care,specifications sathiyas cotton bath towel bath towel yellow blue bath towel features machine washable material cotton design self design general brand sathiyas type bath towel model name sathiyas cotton bath towel ideal women boys girls model asvtwl color yellow blue size mediam dimensions length inch width inch number contents sales package sales package bath towel
2,Eurospa Cotton Terry Face Towel Set,64d5d4a258243731dc7bbb1eef49ad74.jpg,"{""product_specification""=>[{""key""=>""Material"", ""value""=>""Cotton Terry""}, {""key""=>""Design"", ""value""=>""SHUVAM""}, {""key""=>""Brand"", ""value""=>""Eurospa""}, {""key""=>""GSM"", ""value""=>""360""}, {""key""=>""Type"", ""value""=>""Face Towel Set""}, {""key""=>""Model Name"", ""value""=>""SHUVAM20PCFTSETASSORTED""}, {""key""=>""Ideal For"", ""value""=>""Boys, Girls, Men, Women""}, {""key""=>""Model ID"", ""value""=>""SHUVAM20PCFTSETASSORTED""}, {""key""=>""Size"", ""value""=>""small""}, {""key""=>""Color"", ""value""=>""Assorted""}, {""key""=>""Weight"", ""value""=>""350 g""}, {""key""=>""Length"", ""value""=>""9 inch""}, {""key""=>""Width"", ""value""=>""9 inch""}, {""key""=>""Number of Contents in Sales Package"", ""value""=>""20""}, {""key""=>""Sales Package"", ""value""=>""20 PIECE FACE TOWEL SET""}]}",baby care,features eurospa cotton terry face towel size small height inch eurospa cotton terry face towel piece face towel assorted price eurospa brings exclusively designed soft cotton towels export quality products have soft texture that takes care your skin gives that enriched feeling deserve eurospa been exporting bath towels renowned brands last years famous fine prints absorbency softness durability note product cotton susceptible shrinkage product color vary from picture size vary wash care wash cold water iron bleach flat wash before first size face towel specifications eurospa cotton terry face towel piece face towel assorted bath towel features material cotton terry design shuvam general brand eurospa type face towel model name shuvam pcftsetassorted ideal boys girls women model shuvam pcftsetassorted size small color assorted dimensions weight length inch width inch number contents sales package sales package piece face towel
3,SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet,d4684dcdc759dd9cdf41504698d737d8.jpg,"{""product_specification""=>[{""key""=>""Brand"", ""value""=>""SANTOSH ROYAL FASHION""}, {""key""=>""Machine Washable"", ""value""=>""Yes""}, {""key""=>""Type"", ""value""=>""Flat""}, {""key""=>""Material"", ""value""=>""Cotton""}, {""key""=>""Model Name"", ""value""=>""Gold Design Royal Cotton Printed Wedding and Gifted Double Bedsheet With 2 Pillow cover""}, {""key""=>""Model ID"", ""value""=>""goldbedi-38""}, {""key""=>""Color"", ""value""=>""Multicolor""}, {""key""=>""Size"", ""value""=>""King""}, {""key""=>""Fabric Care"", ""value""=>""Machine Wash, Do Not Bleach""}, {""key""=>""Flat Sheet Width"", ""value""=>""90 inch / 230 cm""}, {""key""=>""Fitted Sheet Width"", ""value""=>""228 cm""}, {""key""=>""Pillow Cover Width"", ""value""=>""16 inch / 43 cm""}, {""key""=>""Pillow Cover Length"", ""value""=>""28 inch / 72 cm""}, {""key""=>""Fitted Sheet Depth"", ""value""=>""280 cm""}, {""key""=>""Fitted Sheet Length"", ""value""=>""278 cm""}, {""key""=>""Flat Sheet Depth"", ""value""=>""282 cm""}, {""key""=>""Flat Sheet Length"", ""value""=>""110 inch / 280 cm""}, {""key""=>""Number of Contents in Sales Package"", ""value""=>""1""}, {""key""=>""Sales Package"", ""value""=>""1 Bedsheet,2 Pillow Cover""}]}",home furnishing,features santosh royal fashion cotton printed king sized double bedsheet royal bedsheet perfact wedding gifting specifications santosh royal fashion cotton printed king sized double bedsheet bedsheet pillow cover multicolor general brand santosh royal fashion machine washable type flat material cotton model name gold design royal cotton printed wedding gifted double bedsheet with pillow cover model goldbedi color multicolor size king fabric care machine wash bleach dimensions flat sheet width inch fitted sheet width pillow cover width inch pillow cover length inch fitted sheet depth fitted sheet length flat sheet depth flat sheet length inch number contents sales package sales package bedsheet pillow cover
4,Jaipur Print Cotton Floral King sized Double Bedsheet,6325b6870c54cd47be6ebfbffa620ec7.jpg,"{""product_specification""=>[{""key""=>""Machine Washable"", ""value""=>""Yes""}, {""key""=>""Brand"", ""value""=>""Jaipur Print""}, {""key""=>""Type"", ""value""=>""Flat""}, {""key""=>""Model Name"", ""value""=>""jaipur117""}, {""key""=>""Material"", ""value""=>""Cotton""}, {""key""=>""Thread Count"", ""value""=>""140""}, {""key""=>""Model ID"", ""value""=>""jaipur117""}, {""key""=>""Fabric Care"", ""value""=>""machinewash, do not bleach""}, {""key""=>""Size"", ""value""=>""King""}, {""key""=>""Color"", ""value""=>""White""}, {""value""=>""waranty of the product only for manufacturing defect only and product will exchange onle when it is not used and returne its origional packing""}, {""key""=>""Flat Sheet Width"", ""value""=>""86 inch / 220 cm""}, {""key""=>""Fitted Sheet Width"", ""value""=>""0 cm""}, {""key""=>""Pillow Cover Width"", ""value""=>""17 inch / 45 cm""}, {""key""=>""Pillow Cover Length"", ""value""=>""29 inch / 75 cm""}, {""key""=>""Weight"", ""value""=>""900 g""}, {""key""=>""Fitted Sheet Depth"", ""value""=>""0 cm""}, {""key""=>""Fitted Sheet Length"", ""value""=>""0 cm""}, {""key""=>""Flat Sheet Depth"", ""value""=>""0.2 cm""}, {""key""=>""Flat Sheet Length"", ""value""=>""104 inch / 265 cm""}, {""key""=>""Number of Contents in Sales Package"", ""value""=>""1""}, {""key""=>""Sales Package"", ""value""=>""1 bed sheet 2 pillow cover""}]}",home furnishing,features jaipur print cotton floral king sized double bedsheet cotton jaipur print cotton floral king sized double bedsheet sheet pillow cover white price this nice sheet made cotton give comfort this sheet hand printed this bedsheet gives nice look your room fast colour good quality gives this bedsheet long life specifications jaipur print cotton floral king sized double bedsheet sheet pillow cover white general machine washable brand jaipur print type flat model name jaipur material cotton thread count model jaipur fabric care machinewash bleach size king color white warranty waranty product only manufacturing defect only product will exchange onle when used returne origional packing dimensions flat sheet width inch fitted sheet width pillow cover width inch pillow cover length inch weight fitted sheet depth fitted sheet length flat sheet depth flat sheet length inch number contents sales package sales package sheet pillow cover
5,Maserati Time R8851116001 Analog Watch  - For Boys,893aa5ed55f7cff2eccea7758d7a86bd.jpg,"{""product_specification""=>[{""key""=>""Chronograph"", ""value""=>""Yes""}, {""key""=>""Date Display"", ""value""=>""Yes, Day and Date Display""}, {""key""=>""Altimeter"", ""value""=>""No""}, {""key""=>""Barometer"", ""value""=>""No""}, {""key""=>""Alarm Clock"", ""value""=>""NO""}, {""key""=>""Compass"", ""value""=>""NO""}, {""key""=>""Calendar"", ""value""=>""No""}, {""key""=>""Luminous"", ""value""=>""No""}, {""key""=>""Type"", ""value""=>""Analog""}, {""key""=>""Style Code"", ""value""=>""R8851116001""}, {""key""=>""Ideal For"", ""value""=>""Boys""}, {""key""=>""Occasion"", ""value""=>""Party-Wedding""}, {""value""=>""1 Year Brand Warranty""}, {""key""=>""Dial Shape"", ""value""=>""Oval""}, {""key""=>""Strap Color"", ""value""=>""Green""}, {""key""=>""Scratch Resistant"", ""value""=>""No""}, {""key""=>""Water Resistant"", ""value""=>""Yes""}, {""key""=>""Dial Color"", ""value""=>""Grey""}]}",watches,maserati time analog watch boys maserati time analog watch boys online india only flipkart great discounts only genuine products replacement guarantee free shipping cash delivery
6,"Camerii WM64 Elegance Analog Watch  - For Men, Boys",f355cc1ccb08bd0d283ed979b7ee7515.jpg,"{""product_specification""=>[{""key""=>""Chronograph"", ""value""=>""No""}, {""key""=>""Date Display"", ""value""=>""No""}, {""key""=>""Altimeter"", ""value""=>""No""}, {""key""=>""Barometer"", ""value""=>""No""}, {""key""=>""Alarm Clock"", ""value""=>""No""}, {""key""=>""Compass"", ""value""=>""No""}, {""key""=>""Calendar"", ""value""=>""No""}, {""key""=>""Luminous"", ""value""=>""No""}, {""key""=>""Mechanism"", ""value""=>""Quartz""}, {""key""=>""Type"", ""value""=>""Analog""}, {""key""=>""Series"", ""value""=>""Elegance""}, {""key""=>""Style Code"", ""value""=>""WM64""}, {""key""=>""Ideal For"", ""value""=>""Men, Boys""}, {""key""=>""Occasion"", ""value""=>""Formal""}, {""key""=>""Power Source"", ""value""=>""Battery Powered""}, {""key""=>""Novelty Feature"", ""value""=>""Very Stylish Design With The Reasonable Price""}, {""key""=>""Diameter"", ""value""=>""40 mm""}, {""key""=>""Width"", ""value""=>""40 mm""}, {""key""=>""Thickness"", ""value""=>""8 mm""}, {""value""=>""6 Months Warranty Against Manufacturing Defects.""}, {""value""=>""Watch, Box, Camerii Card""}, {""key""=>""Strap Type"", ""value""=>""Metal""}, {""key""=>""Dial Shape"", ""value""=>""Round""}, {""key""=>""Box Material"", ""value""=>""Metal""}, {""key""=>""Strap Color"", ""value""=>""Mettalic""}, {""key""=>""Shock Resistance"", ""value""=>""Yes""}, {""key""=>""Case / Bezel Material"", ""value""=>""High Quality Alloy Case""}, {""key""=>""Scratch Resistant"", ""value""=>""No""}, {""key""=>""Water Resistant"", ""value""=>""Yes""}, {""key""=>""Clasp Type"", ""value""=>""Buckle""}, {""key""=>""Dial Color"", ""value""=>""Black""}, {""key""=>""Strap Material"", ""value""=>""Stainless Steel Strap""}]}",watches,camerii elegance analog watch boys camerii elegance analog watch boys online india only flipkart great discounts only genuine products replacement guarantee free shipping cash delivery
7,T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys,dd0e3470a7e6ed76fd69c2da27721041.jpg,"{""product_specification""=>[{""key""=>""Chronograph"", ""value""=>""No""}, {""key""=>""Altimeter"", ""value""=>""No""}, {""key""=>""Date Display"", ""value""=>""No""}, {""key""=>""Barometer"", ""value""=>""No""}, {""key""=>""Alarm Clock"", ""value""=>""No""}, {""key""=>""Compass"", ""value""=>""No""}, {""key""=>""Calendar"", ""value""=>""No""}, {""key""=>""Luminous"", ""value""=>""No""}, {""key""=>""Weight"", ""value""=>""250 g""}, {""key""=>""Mechanism"", ""value""=>""Quartz""}, {""key""=>""Type"", ""value""=>""Analog""}, {""key""=>""Style Code"", ""value""=>""UFT-TSW-005-BK-BR""}, {""key""=>""Occasion"", ""value""=>""Casual""}, {""key""=>""Ideal For"", ""value""=>""Boys""}, {""key""=>""Novelty Feature"", ""value""=>""Analog""}, {""key""=>""Power Source"", ""value""=>""Battery Powered""}, {""value""=>""6 Months T STAR Warranty""}, {""key""=>""Box Material"", ""value""=>""Cardboard""}, {""key""=>""Strap Type"", ""value""=>""linked""}, {""key""=>""Dial Shape"", ""value""=>""Round""}, {""key""=>""Strap Color"", ""value""=>""Brown""}, {""key""=>""Shock Resistance"", ""value""=>""No""}, {""key""=>""Strap Design"", ""value""=>""Enamel Droplet""}, {""key""=>""Scratch Resistant"", ""value""=>""Yes""}, {""key""=>""Case / Bezel Material"", ""value""=>""Stainless Steel Case""}, {""key""=>""Water Resistant"", ""value""=>""Yes""}, {""key""=>""Water Resistance Depth"", ""value""=>""10 m""}, {""key""=>""Clasp Type"", ""value""=>""Buckle""}, {""key""=>""Dial Color"", ""value""=>""Black""}, {""key""=>""Strap Material"", ""value""=>""Leather Strap""}, {""value""=>""Watch""}]}",watches,star analog watch boys price whether your work travelling abroad with family lifestyle accessories like watches wallets belts help touch sophistication class your otherwise mundane regular daily wear when comes down suave leather belts intricately designed finished timepieces what separate from rest whether your work travelling abroad with family lifestyle accessories like watches wallets belts help touch sophistication class your otherwise mundane regular daily wear when comes down suave leather belts intricately designed finished timepieces what separate from rest
8,"Alfajr WY16B Youth Digital Watch  - For Men, Boys",41384da51732c0b4df3de8f395714fbb.jpg,"{""product_specification""=>[{""key""=>""Chronograph"", ""value""=>""No""}, {""key""=>""Date Display"", ""value""=>""Yes""}, {""key""=>""Altimeter"", ""value""=>""No""}, {""key""=>""Tourbillon"", ""value""=>""No""}, {""key""=>""Other Functions"", ""value""=>""No""}, {""key""=>""Alarm Clock"", ""value""=>""Yes""}, {""key""=>""Calendar"", ""value""=>""Yes""}, {""key""=>""Luminous"", ""value""=>""No""}, {""key""=>""Barometer"", ""value""=>""No""}, {""key""=>""Moonphase"", ""value""=>""No""}, {""key""=>""Compass"", ""value""=>""Yes""}, {""key""=>""Light"", ""value""=>""Yes""}, {""key""=>""GPS"", ""value""=>""No""}, {""key""=>""Chronograph Feature"", ""value""=>""No""}, {""key""=>""Diameter"", ""value""=>""30 mm""}, {""key""=>""Weight"", ""value""=>""30 g""}, {""key""=>""Other Dimensions"", ""value""=>""Case Size 38 Mm""}, {""key""=>""Height"", ""value""=>""30 mm""}, {""key""=>""Width"", ""value""=>""10 mm""}, {""key""=>""Thickness"", ""value""=>""10 mm""}, {""key""=>""Mechanism"", ""value""=>""Quartz""}, {""key""=>""Type"", ""value""=>""Digital""}, {""key""=>""Series"", ""value""=>""Youth""}, {""key""=>""Style Code"", ""value""=>""WY16B""}, {""key""=>""Occasion"", ""value""=>""Casual, Sports""}, {""key""=>""Ideal For"", ""value""=>""Men, Boys""}, {""key""=>""Novelty Feature"", ""value""=>""No""}, {""key""=>""Power Source"", ""value""=>""Battery""}, {""value""=>""1 Year Domestic Warranty""}, {""value""=>""Azan Times ( For All Cities Around The World ): Major Cities Around The World Are Pre-Programmed In The Watch. And Any Other Location Can Be Programmed Using Latitude, Longitude And Gmt Information. Azan Times Are Calculated Accurately, Alfajr Watch Uses The Local Taqweem Or The Most Widely Used Taq...View More Azan Times ( For All Cities Around The World ): Major Cities Around The World Are Pre-Programmed In The Watch. And Any Other Location Can Be Programmed Using Latitude, Longitude And Gmt Information. Azan Times Are Calculated Accurately, Alfajr Watch Uses The Local Taqweem Or The Most Widely Used Taqweem System For Your City. Other Standard Taqweem Systems Are Available., Prayer Reminders : Six Prayer Reminder Alarms Can Be Independently Set To Ring Before Or After Each Azan. All Prayer Reminder Alarms Will Automatically Change According To The Change Of Azan Times., Qibla Direction : Qibla Direction Can Be Displayed (Relative To The North, Sun Or Moon). Also, You Can Determine The Age Of The Moon., Hijri And Gregorian Calnedars : Gregorian Or Hijri Calendar Can Be Displayed. The Hijri Calendar Follows The Gregorian Date And Is Based On The Astronomical Moon Sighting At Mecca., Qur'An Bookmark : This Feature Is Used To Record The Last Sura Name And Verse Number You Have Reached In Reading The Qur'An., Daily Alrams : In Addition To The Prayer Alarms, A Daily Alarms Are Available., Other Features : Bilingual Display: Arabic and English Languages Time Can Be Displayed In 12 Hours (Am/Pm) Format Or 24 Hours Format Can Display Number Of Minutes After The Current Azan (Up To 30 Minutes) Stop Watch Daylight Saving Time Option Battery Level Indicator""}, {""key""=>""Strap Color"", ""value""=>""Black""}, {""key""=>""Shock Resistance"", ""value""=>""Yes""}, {""key""=>""Scratch Resistant"", ""value""=>""No""}, {""key""=>""Water Resistant"", ""value""=>""Yes""}, {""key""=>""Other Body Features"", ""value""=>""Plastic Transparent Round Case, Rubber Strap, Crystal Fstn Lcd With Blue El Back Light, Water Resistant 3 Atm, Case Size 38 Mm""}, {""key""=>""Dial Color"", ""value""=>""Black""}, {""key""=>""Box Material"", ""value""=>""Plastic""}, {""key""=>""Strap Type"", ""value""=>""Ribber""}, {""key""=>""Dial Shape"", ""value""=>""Round""}, {""key""=>""Strap Design"", ""value""=>""Mesh""}, {""key""=>""Case / Bezel Material"", ""value""=>""Plastic""}, {""key""=>""Water Resistance Depth"", ""value""=>""30 m""}, {""key""=>""Clasp Type"", ""value""=>""Buckle""}, {""key""=>""Strap Material"", ""value""=>""Rubber Strap""}, {""value""=>""Watch""}]}",watches,alfajr youth digital watch boys alfajr youth digital watch boys online india only flipkart azan times cities around world prayer reminders qibla direction hijri gregorian calnedars bookmark daily alrams great discounts only genuine products replacement guarantee free shipping cash delivery
9,"TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men",710ed5f2393a4b9e8823aa0029f71f93.jpg,"{""product_specification""=>[{""key""=>""Chronograph"", ""value""=>""Yes""}, {""key""=>""Altimeter"", ""value""=>""No""}, {""key""=>""Date Display"", ""value""=>""Yes""}, {""key""=>""Barometer"", ""value""=>""No""}, {""key""=>""Alarm Clock"", ""value""=>""No""}, {""key""=>""Compass"", ""value""=>""No""}, {""key""=>""Calendar"", ""value""=>""No""}, {""key""=>""Luminous"", ""value""=>""No""}, {""key""=>""Mechanism"", ""value""=>""Quartz""}, {""key""=>""Type"", ""value""=>""Analog""}, {""key""=>""Series"", ""value""=>""Formula 1""}, {""key""=>""Style Code"", ""value""=>""CAU1116.BA0858""}, {""key""=>""Occasion"", ""value""=>""Formal, Casual""}, {""key""=>""Ideal For"", ""value""=>""Boys, Men""}, {""key""=>""Novelty Feature"", ""value""=>""Scratch Resistant Sapphire""}, {""value""=>""2 Years warranty""}, {""value""=>""The Quartz movement of the Tag Heuer Formula One Chronograph 42 MM CAU1116.BA0858, is immaculate in providing reliable and accurate time keeping, complemented by its high functionality, making the timepiece capable of measuring up to 12 hours of elapsed time to the extent of 1/10th of a second. The...View More The Quartz movement of the Tag Heuer Formula One Chronograph 42 MM CAU1116.BA0858, is immaculate in providing reliable and accurate time keeping, complemented by its high functionality, making the timepiece capable of measuring up to 12 hours of elapsed time to the extent of 1/10th of a second. The 3 Chronograph counters placed across the black dial, add both a sense of symmetry as well as function to the entire ensemble of the watch. Compute the average speed of a car with relative ease, assisted by the tachymeter scale imprinted on the bezel and dive to the depths of the sea exploring wonders, with its water resistant capacity of 200 metres.""}, {""key""=>""Dial Shape"", ""value""=>""Round""}, {""key""=>""Strap Type"", ""value""=>""Bracelet""}, {""key""=>""Strap Color"", ""value""=>""Steel""}, {""key""=>""Scratch Resistant"", ""value""=>""Yes""}, {""key""=>""Water Resistant"", ""value""=>""Yes""}, {""key""=>""Water Resistance Depth"", ""value""=>""200 m""}, {""key""=>""Clasp Type"", ""value""=>""Clasp""}, {""key""=>""Other Body Features"", ""value""=>""BEZEL:Black Titanium Carbide Coated steel""}, {""key""=>""Dial Color"", ""value""=>""Black""}, {""key""=>""Strap Material"", ""value""=>""Metal Strap""}, {""value""=>""1 Watch""}]}",watches,heuer formula analog watch boys heuer formula analog watch boys online india only flipkart swiss made quartz movement scratch resistant sapphire crystal glass water resistant metres feature chronograph great discounts only genuine products replacement guarantee free shipping cash delivery
